Lehmann	c	-39.96	-56.17	53.8
Büsching	c	-38.04	19.96	53.5
Challis	c	79.58	9.09	53.2
Kaiser	c	-36.49	6.48	53.1
Lindenau	c	-32.35	24.77	53.1
Rimae Theaetetus	o	33.04	5.87	53.0
Widmannstätten	c	-6.09	85.43	52.9
Cavendish	c	-24.63	-53.78	52.6
Beals	c	37.11	86.58	52.6
Montes Secchi	o	2.72	43.17	52.5
Catena Davy	o	-10.98	-6.27	52.3
Schorr	c	-19.45	89.80	52.1
Nasireddin	c	-41.04	0.14	52.0
Agatharchides	c	-19.85	-31.11	52.0
Schubert	c	2.78	81.01	51.9
Anaxagoras	c	73.48	-10.17	51.9
Chevallier	c	45.01	51.57	51.8
Shoemaker	c	-88.14	45.91	51.8
Fourier	c	-30.31	-53.10	51.6
Delambre	c	-1.94	17.39	51.5
Porter	c	-56.15	-10.18	51.5
Haworth	c	-87.45	-5.17	51.4
Buch	c	-38.90	17.68	51.3
Regnault	c	54.04	-87.88	51.3
Réaumur	c	-2.45	0.73	51.3
Krafft	c	16.56	-72.72	51.1
Neison	c	68.21	25.02	51.0
Beaumont	c	-18.08	28.82	50.7
Apollonius	c	4.51	60.96	50.7
Chacornac	c	29.88	31.67	50.4
Boss	c	45.75	88.68	50.2
Rupes Toscanelli	o	26.97	-47.53	50.1
Rimae Maupertuis	o	51.24	-22.82	50.0
Promontorium Laplace	o	46.84	-25.51	50.0
Promontorium Heraclides	o	40.60	-34.10	50.0
Rutherfurd	c	-61.15	-12.25	50.0
Playfair	c	-23.56	8.45	49.9
Rima Flammarion	o	-2.38	-4.67	49.7
Cardanus	c	13.27	-72.50	49.6
Eichstadt	c	-22.63	-78.42	49.6
Pallas	c	5.48	-1.65	49.5
Voskresenskiy	c	27.91	-88.12	49.4
Neander	c	-31.35	39.89	49.2
Opelt	c	-16.32	-17.64	48.7
Kapteyn	c	-10.79	70.59	48.7
Breislak	c	-48.31	18.31	48.6
Berzelius	c	36.55	50.95	48.5
Bayer	c	-51.62	-35.14	48.5
Shaler	c	-32.89	-85.27	48.5
Catena Timocharis	o	29.09	-13.21	48.4
Gyldén	c	-5.37	0.23	48.2
Capella	c	-7.65	34.92	48.1
Dubyago	c	4.38	69.95	48.1
Lacus Hiemalis	p	15.01	13.97	48.0
Cysatus	c	-66.21	-6.34	47.8
Almanon	c	-16.85	15.14	47.8
Dorsum Niggli	o	29.01	-52.28	47.8
Descartes	c	-11.74	15.67	47.7
Zöllner	c	-7.97	18.90	47.7
Proctor	c	-46.43	-5.04	47.6
Reimarus	c	-47.69	60.42	47.6
Holden	c	-19.19	62.53	47.6
Seneca	c	26.71	79.81	47.6
Azophi	c	-22.19	12.70	47.5
Main	c	80.87	10.41	47.4
Bernoulli	c	34.93	60.61	47.3
Parry	c	-7.88	-15.78	47.3
Rost	c	-56.42	-33.84	46.8
Rimae Atlas	o	46.82	44.42	46.8
Rimae de Gasparis	o	-24.99	-50.30	46.7
Krusenstern	c	-26.30	5.76	46.4
Campanus	c	-28.04	-27.90	46.4
Mercator	c	-29.25	-26.11	46.3
Prinz	c	25.49	-44.14	46.1
Crüger	c	-16.68	-66.96	45.9
Daguerre	c	-11.91	33.61	45.8
Deluc	c	-55.02	-2.98	45.7
Billy	c	-13.83	-50.24	45.6
Kies	c	-26.31	-22.63	45.5
Rima Cleomedes	o	27.98	56.51	45.5
Maupertuis	c	49.70	-27.28	45.5
Borda	c	-25.20	46.52	45.4
Cook	c	-17.50	48.81	45.2
Rima Jansen	o	14.50	29.51	45.1
Seleucus	c	21.09	-66.66	45.0
Promontorium Kelvin	o	-26.95	-33.45	45.0
Hansteen	c	-11.53	-52.06	45.0
Eimmart	c	23.97	64.80	45.0
Geber	c	-19.46	13.85	44.7
Delaunay	c	-22.26	2.62	44.6
Bilharz	c	-5.83	56.34	44.6
Aston	c	32.77	-87.68	44.5
Rhaeticus	c	0.03	4.92	44.4
Saunder	c	-4.26	8.72	44.4
Brisbane	c	-49.20	68.76	44.3
Mons Vitruvius	o	19.33	30.74	44.3
Sirsalis	c	-12.49	-60.51	44.2
Tralles	c	28.32	52.85	44.2
Goodacre	c	-32.67	14.08	44.1
Stiborius	c	-34.49	31.99	43.8
Agrippa	c	4.10	10.47	43.7
Dorsum Nicol	o	18.32	22.66	43.7
Römer	c	25.43	36.41	43.7
Klein	c	-11.99	2.53	43.5
Lohse	c	-13.76	60.31	43.3
Reinhold	c	3.28	-22.86	43.3
Hesiodus	c	-29.42	-16.42	43.2
Tempel	c	3.76	11.86	43.2
Abenezra	c	-20.99	11.89	43.2
Mons Cabeus	o	-83.67	-36.16	43.0
Plana	c	42.25	28.22	43.0
Lubiniezky	c	-17.88	-23.89	43.0
Rima Gärtner	o	58.84	35.77	42.7
Houtermans	c	-9.42	87.38	42.7
Tacchini	c	5.08	85.82	42.6
Vitello	c	-30.42	-37.55	42.5
Faustini	c	-87.18	84.31	42.5
Gioja	c	83.35	1.76	42.5
Oersted	c	43.09	47.25	42.3
Mons Huygens	o	19.92	-2.86	42.0
Kinau	c	-60.75	14.94	41.9
Palitzsch	c	-28.02	64.39	41.9
Nobili	c	0.17	75.95	41.8
Henry Frères	c	-23.52	-59.02	41.7
Rothmann	c	-30.81	27.70	41.7
Boscovich	c	9.71	11.01	41.5
Poisson	c	-30.34	10.56	41.4
Isidorus	c	-7.96	33.50	41.4
Plinius	c	15.36	23.61	41.3
Hansen	c	14.04	72.54	41.2
Lee	c	-30.66	-40.76	41.2
Krasnov	c	-29.93	-79.82	41.2
Bürg	c	45.07	28.21	41.0
Barkla	c	-10.67	67.22	40.9
Oppolzer	c	-1.52	-0.45	40.9
Polybius	c	-22.46	25.63	40.8
Asclepi	c	-55.19	25.52	40.6
